,cfo_demod,gain_imb,iq_imb,or_off,quadr_err,m_power,ph_err,mag_err,evm,Tosc,Tmix
0,592.234802246,0.04807878658,-35.0827293396,-28.5608463287,1.99317038059,-0.49972105026,1.10792601109,1.50755000114,2.42394328117,39.9,47.6
1,-103.302032471,-0.01991670206,-29.9469528198,-35.798664093,-3.64231109619,-0.92819261551,1.23605895042,2.74156808853,3.45805621147,14.8,23.1
2,-582.331298828,0.03637943417,-32.0966720581,-31.9056282043,2.83583927155,-1.27248489857,1.28216254711,2.14009571075,3.01352214813,42.5,48.6
3,-630.61126709,0.0639282316,-38.2162971497,-30.0841712952,1.34631562233,-0.59643805027,1.15484845638,1.09346497059,2.2545144558,26.1,35.4
4,-415.526977539,-0.05576147512,-29.1807403564,-36.6010246277,-3.96352601051,0.11305464059,1.49888932705,3.6087372303,4.28668355942,24.2,40.8
5,-432.158599854,-0.0307587795,-29.8606758118,-36.1946334839,-3.67544078827,0.24340321124,1.53749763966,3.44993686676,4.19493055344,27.5,44.8
6,-1121.17248535,0.0802033022,-39.6864089966,-27.7863044739,1.06371319294,-0.11197092384,1.1975569725,0.90018820763,2.07962536812,56.8,64.1
7,-60.4082069397,0.09758860618,-31.7295017242,-29.70753479,2.92651748657,-0.30948618054,1.30042850971,2.17029833794,3.13008642197,11.1,18.5
8,-162.684295654,0.11759858578,-32.8672828674,-28.41289711,2.53377127647,-0.7610694766,1.25979173183,1.93905937672,2.87345814705,47.9,55.0
9,-460.115356445,0.09793876112,-38.5046653748,-30.3810958862,1.19807064533,-0.35457211733,1.20141971111,1.04053282738,2.31137752533,10.6,17.6
10,-974.192199707,0.07720094174,-37.7681884766,-27.7617073059,1.39130616188,0.64473623037,1.22077417374,1.05031919479,2.41612815857,10.9,17.6
11,-424.394470215,0.08583276719,-45.1424293518,-26.9515686035,-0.05501439795,-0.62313896418,1.00874471664,0.427295506,1.75137984753,0.6,9.2
12,-551.8515625,0.02279010974,-48.5935554504,-27.2315578461,0.39866277576,-1.0408090353,1.06794703007,0.52078711987,1.86471009254,27.9,37.3
13,-424.718902588,0.08170717955,-46.425403595,-27.1508998871,0.09260541201,-0.71158444881,1.16127312183,0.43728491664,2.03483295441,0.6,9.3
14,-393.008636475,0.09749440849,-42.5855255127,-27.20703125,0.5571590066,-1.3937882185,1.01876366138,0.62720489502,1.91987419128,53.4,60.6
15,604.022216797,0.08996049315,-34.3106689453,-29.0517406464,2.12451505661,0.30622541904,1.08026731014,1.64544415474,2.43781137466,2.1,9.8
16,-478.981109619,0.04339846596,-40.3882522583,-30.4793014526,1.05773723125,-0.1874307245,1.18823432922,0.94307500124,2.20465898514,8.2,14.9
